t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,Paff_MW,lost_MW,pump,gen
956.0,0.0,2.61174,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
960.0,0.0,2.61068,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
964.0,0.0,2.60961,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
968.0,0.0,2.60855,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
972.0,0.0,2.60748,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
976.0,0.0,2.60642,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
980.0,0.0,2.60535,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
984.0,0.0,2.60429,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
988.0,0.0,2.60322,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
992.0,0.0,2.60216,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
996.0,0.0,2.60109,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1000.0,0.0,2.60003,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1004.0,0.0,2.59896,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1008.0,0.0,2.5979,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1012.0,0.0,2.59683,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1016.0,0.0,2.59577,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1020.0,0.0,2.5947,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1024.0,0.0,2.59364,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1028.0,0.0,2.59257,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1032.0,0.0,2.59151,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1036.0,0.0,2.59044,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1040.0,0.0,2.58938,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1044.0,0.0,2.58832,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1048.0,0.0,2.58725,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1052.0,0.0,2.58619,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1056.0,0.0,2.58512,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1060.0,0.0,2.58406,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1064.0,0.0,2.58299,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1068.0,0.0,2.58193,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1072.0,0.0,2.58086,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1076.0,0.0,2.5798,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1080.0,0.0,2.57873,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1084.0,0.0,2.57767,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1088.0,0.0,2.5766,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1092.0,0.0,2.57554,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1096.0,0.0,2.57447,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1100.0,0.0,2.57341,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1104.0,0.0,2.57234,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1108.0,0.0,2.57128,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1112.0,0.0,2.57021,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1116.0,0.0,2.56915,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1120.0,0.0,2.56808,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1124.0,0.0,2.56702,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1128.0,0.0,2.56595,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1132.0,0.0,2.56489,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1136.0,0.0,2.56383,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1140.0,0.0,2.56276,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1144.0,0.0,2.5617,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
1148.0,0.0,2.56063,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
